,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
0,Porozi Áo sweater dệt kim tay dài cổ tròn thời trang Hàn Quốc dành cho nữ,139000.0,porozi,Thời Trang Nữ/Áo len & Cardigan,931,142230,4.7,290,10,15,4,11,330,166,143,Thời Trang Nữ
1,FREESHIP- Áo len cổ tròn màu xanh đính cúc phong cách hàn quốc ( Hàng có sẵn),152000.0,porozi,Thời Trang Nữ/Áo len & Cardigan,241,17,4.9,56,5,0,0,0,61,45,39,Thời Trang Nữ
2,Áo len cho bố nam trung niên loại 1 đẹp dày dặn mềm mịn hàng quảng châu quà tặng cho bố tặng ông lớn tuổi mặc mùa đông,100000.0,porozi,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",176,280,4.6,37,4,4,0,2,47,25,11,Thời Trang Nam
3,"Áo Len Nam Cổ Tròn Trơn SUKIYA Nhiều Màu, Đủ Size Chất Len Lông Cừu mềm Mịn AL15",164250.0,SUKIYA JAPAN,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",7800,83902,4.9,2300,102,41,10,22,2500,1300,1000,Thời Trang Nam
4,Áo khoác cardigan len lửng tay dài nhiều màu,215000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,556,11,4.9,135,7,3,0,2,147,86,75,Thời Trang Nữ
5,Áo len oversize form dáng rộng dệt kim dài tay kẻ ngang màu nâu cổ chữ V nữ famos,165000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,716,0,4.9,223,11,8,0,0,242,177,154,Thời Trang Nữ
6,ÁO KHOÁC CARDIGAN LEN NỮ QUẢNG CHÂU HỌA TIẾT HÌNH THOI KIM CƯƠNG TRÁM MÀU ĐEN HỒNG KẺ SỌC PHONG CÁCH HÀN QUỐC ac5,169000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,21900,142230,4.9,3800,113,47,16,41,4100,1600,1400,Thời Trang Nữ
7,[SẴN HÀNG] Áo len Noel giáng sinh cực nhiều mẫu hot hàng QC,259000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,410,421,4.8,68,7,3,1,0,79,51,32,Thời Trang Nữ
8,"Áo len lông thỏ cao cấp siêu mềm mịn , ao len nữ mùa đông đáng yêu",230000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo/Khác,140,690,5.0,39,2,0,0,0,41,24,20,Thời Trang Nữ
9,Áo len nữ màu trắng đen nâu phom xinh thời trang sweater cổ tròn dài tay chất len dệt kim dày dặn phong cách Hàn,205000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,402,157,4.9,111,4,1,0,0,116,77,56,Thời Trang Nữ
10,ÁO LEN THỪNG CỔ LÔNG HÀNG QC LOẠI 1,209000.0,SUKIYA JAPAN,"Thời Trang Nữ/Áo khoác, Áo choàng & Vest/Áo khoác mùa đông & Áo choàng",457,92,4.7,102,2,1,3,5,113,69,56,Thời Trang Nữ
11,"Áo Nỉ , Áo Swetear Cổ Tròn  Hoạ Tiết Skeleton Heart Dáng Xuông",149000.0,SUKIYA JAPAN,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",3100,29793,4.7,37,1,0,1,2,41,30,9,Thời Trang Nam
12,"áo len cardigan ,áo khoác ngoài",189000.0,SUKIYA JAPAN,Thời Trang Nữ/Áo len & Cardigan,581,737,0.0,0,0,0,0,0,235,0,0,Thời Trang Nữ
13,(CÓ VIDEO) Áo gile len nam nữ trắng đen xám sọc viền Hàn Quốc unisex form rộng bigsize khoác ngoài ulzzang mới 2022,158000.0,Ulzzang,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",323,442,4.8,82,4,5,0,1,92,50,32,Thời Trang Nam
14,Áo khoác len croptop Forgirl tay bồng phối viền xẻ,163000.0,Ulzzang,Thời Trang Nữ/Áo len & Cardigan,1500,142230,4.8,359,21,11,3,11,405,90,74,Thời Trang Nữ
15,Áo Len Tăm Cổ 3 Phân Bigsize 50-65kg,99000.0,Ulzzang,Thời Trang Nữ/Áo len & Cardigan,400,193,4.8,103,3,7,3,0,116,56,37,Thời Trang Nữ
16,Áo len lông thừng dày dặn 3 màu hàng qc l1 (kèm ảnh thật và video),245000.0,Ulzzang,Thời Trang Nữ/Áo len & Cardigan,31,123,4.9,8,1,0,0,0,9,8,6,Thời Trang Nữ
17,"( Sắn màu Kem) Áo Cardigan lông thỏ 2022 phù hợp với mùa xuân , mùa thu",247000.0,Ulzzang,Thời Trang Nữ/Áo len & Cardigan,17,581,5.0,5,0,0,0,0,5,2,1,Thời Trang Nữ
18,Len rách 5 màu,210000.0,Ulzzang,Thời Trang Nữ/Áo/Khác,321,304,4.8,76,6,2,1,0,85,52,41,Thời Trang Nữ
19,(H137) Áo Len Thừng Mỏng Trơn Màu Pastel Nhẹ Nhàng Cổ V Chất Vải Mềm Nhẹ phong cách Hàn Quốc( Kèm video+ ảnh thật) ❤️,218000.0,Ulzzang,Thời Trang Nữ/Áo len & Cardigan,445,1101,4.9,126,11,2,0,0,139,107,97,Thời Trang Nữ
20,Áo Len Nam Cổ Tròn SUKIYA Hàng Hiệu Chất dày dặn Fom Hàn Quốc đẹp AL10,214140.0,SUKIYA,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",11200,54988,0.0,0,0,0,0,0,3800,0,0,Thời Trang Nam
21,[NEW] ÁO LEN OFF SALE 2 MÀU [KÈM ẢNH KHÁCH FEEDBACK],280000.0,SUKIYA,Thời Trang Nữ/Áo len & Cardigan,97,31,4.5,20,2,2,2,0,27,16,13,Thời Trang Nữ
22,Xiaozhainv Áo croptop dệt kim tay dài dáng rộng duyên dáng dễ phối đồ cho nữ,129000.0,XIAO ZHAI NV,Thời Trang Nữ/Áo len & Cardigan,1400,9111,4.5,370,29,24,17,20,460,257,218,Thời Trang Nữ
23,áo len nữ kiểu cổ tim dây cổ choker thiết kế vạt chéo thời trang A709 SUTANO,135000.0,XIAO ZHAI NV,Thời Trang Nữ/Áo len & Cardigan,2000,29816,4.8,543,45,19,7,11,625,131,111,Thời Trang Nữ
24,Xiaozhainv Áo khoác len cổ chữ V dáng rộng phong cách Hàn Quốc sành điệu cho nữ,159000.0,XIAO ZHAI NV,Thời Trang Nữ/Áo len & Cardigan,2000,9207,4.7,638,53,36,9,14,750,483,430,Thời Trang Nữ
25,May Shop - Áo len Hàn 2hand siêu xinh ( Chốt trên livestream),49000.0,XIAO ZHAI NV,Thời Trang Nữ/Áo len & Cardigan,2100,43,4.6,438,27,20,7,27,519,378,315,Thời Trang Nữ
26,[Hot] Áo len thom hàng ord không sẵn,280000.0,XIAO ZHAI NV,Thời Trang Nữ/Áo/Khác,9,37,4.6,4,0,1,0,0,5,5,3,Thời Trang Nữ
27,Áo Len Ghile Nam SUKIYA Chất Len Lông Cừu Mềm Mịn Hàng Cao Cấp AL31,189050.0,SUKIYA JAPAN,"Thời Trang Nam/Áo Hoodie, Áo Len & Áo Nỉ/Áo Len",5300,48447,4.9,1500,84,14,5,9,1600,745,574,Thời Trang Nam
28,Áo cardigan cổ tròn túi vuông 4 màu dệt kim dày dặn,179000.0,VUÔNG,Thời Trang Nữ/Áo len & Cardigan,1100,7,4.9,341,13,5,1,1,361,249,230,Thời Trang Nữ
